Plan,Plan_Type,Company_Coverage,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
100600MONEYIND,1,EE,23,22,22,23,23,22,22,22,22,22,23,23
100600MONEYIND,1,ES,4,4,3,3,3,3,3,3,3,2,3,3
100600MONEYIND,1,EF,6,7,7,8,8,8,9,9,9,9,9,9
100600MONEYIND,1,ED,10,11,12,11,11,11,11,12,12,12,12,12
100600TRADIND,1,EE,9,10,11,11,10,9,10,9,8,9,9,9
100600TRADIND,1,ES,5,5,5,5,5,5,5,5,5,5,5,5
100600TRADIND,1,EF,3,3,3,3,3,3,3,3,3,3,3,3
100600TRADIND,1,ED,7,6,6,6,6,6,6,6,6,7,7,7
100600VBPMONEY1,1,EE,24,25,23,21,21,21,20,24,24,20,21,21
100600VBPMONEY1,1,ES,6,6,6,7,7,7,7,8,7,7,6,5
100600VBPMONEY1,1,EF,3,4,4,4,4,4,4,4,5,5,6,5
100600VBPMONEY1,1,ED,13,15,14,14,13,12,14,17,16,14,14,13
100600VBPMONEY2,1,EE,79,80,81,78,79,77,77,77,75,73,72,69
100600VBPMONEY2,1,ES,19,21,20,19,19,18,17,17,17,17,17,18
100600VBPMONEY2,1,EC,2,2,3,3,3,3,3,3,3,3,3,3
100600VBPMONEY2,1,EF,17,18,17,17,17,17,17,17,16,16,16,17
100600VBPMONEY2,1,ED,26,24,24,21,21,23,23,24,23,23,23,22
100600VBPTRAD1,1,EE,22,22,21,23,23,22,22,23,23,23,24,23
100600VBPTRAD1,1,ES,4,4,4,4,4,5,4,4,4,3,3,3
100600VBPTRAD1,1,EF,5,5,5,4,4,3,3,3,3,3,3,3
100600VBPTRAD1,1,ED,3,3,3,3,4,4,5,5,5,5,4,4
100600VBPTRAD2,1,EE,52,49,49,44,43,44,45,48,47,47,47,42
100600VBPTRAD2,1,ES,15,14,12,13,12,12,12,12,12,12,14,15
100600VBPTRAD2,1,EC,1,1,1,1,1,1,1,1,1,1,1,1
100600VBPTRAD2,1,EF,15,16,17,16,16,15,16,16,16,16,14,13
100600VBPTRAD2,1,ED,13,13,13,13,13,14,13,13,12,11,12,12
