Plan,Plan_Type,Company_Coverage,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02
100600MONEYIND,1,EE,29,31,29,29,29,29,28,43,43,46,46
100600MONEYIND,1,ES,4,4,4,5,5,5,5,8,8,8,8
100600MONEYIND,1,EF,11,10,10,10,10,10,10,12,11,12,12
100600MONEYIND,1,ED,12,12,12,11,11,11,11,14,15,15,16
100600TRADIND,1,EE,9,10,10,10,10,10,10,36,39,39,38
100600TRADIND,1,ES,7,7,7,7,6,6,6,16,16,14,14
100600TRADIND,1,EF,2,2,2,2,2,2,2,3,3,3,5
100600TRADIND,1,ED,6,6,6,6,6,5,5,6,6,6,6
100600VBPMONEY1,1,EE,25,25,25,24,25,23,23,20,18,17,18
100600VBPMONEY1,1,ES,6,6,6,5,5,5,5,5,5,5,5
100600VBPMONEY1,1,EF,4,3,3,4,3,2,1,2,2,2,2
100600VBPMONEY1,1,ED,14,15,15,15,14,13,14,13,13,13,13
100600VBPMONEY2,1,EE,73,69,69,67,65,65,67,61,61,59,50
100600VBPMONEY2,1,ES,19,17,16,17,16,16,16,17,16,16,16
100600VBPMONEY2,1,EC,3,3,3,3,3,3,3,3,3,3,3
100600VBPMONEY2,1,EF,13,14,14,14,15,15,14,13,14,14,11
100600VBPMONEY2,1,ED,19,20,19,19,19,17,15,16,17,17,15
100600VBPTRAD1,1,EE,20,19,19,20,19,19,19,16,17,18,19
100600VBPTRAD1,1,ES,4,4,3,3,3,2,2,2,2,3,3
100600VBPTRAD1,1,EF,3,3,3,2,3,3,3,5,5,5,5
100600VBPTRAD1,1,ED,3,3,3,3,3,3,3,4,4,4,4
100600VBPTRAD2,1,EE,51,51,51,50,48,45,44,47,46,47,41
100600VBPTRAD2,1,ES,17,17,15,14,14,14,14,16,17,18,17
100600VBPTRAD2,1,EC,1,1,1,1,1,1,1,1,1,1,1
100600VBPTRAD2,1,EF,14,14,14,12,13,13,13,13,11,9,9
100600VBPTRAD2,1,ED,10,10,11,12,13,13,15,15,14,13,13
